City,Date,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
mar del plata,1566621439,100.0,AR,61.0,-46.43,-67.52,47.72,16.75
bhakkar,1566621657,0.0,PK,19.0,31.63,71.07,105.86,7.29
hualmay,1566621659,71.0,PE,94.0,-11.1,-77.61,57.62,14.83
gizo,1566621662,40.0,IL,78.0,31.8,34.94,80.6,4.7
bandarbeyla,1566621664,15.0,SO,35.0,9.49,50.81,92.9,31.65
wrzesnia,1566621665,0.0,PL,78.0,52.33,17.57,61.0,1.99
loa janan,1566621666,100.0,ID,79.0,-0.58,117.09,84.8,2.37
mahon,1566621667,75.0,IE,93.0,51.89,-8.4,60.01,8.05
hambantota,1566621669,90.0,LK,100.0,6.12,81.12,78.8,9.17
nyurba,1566621671,45.0,RU,81.0,63.29,118.35,61.4,3.89
cherskiy,1566621674,62.0,RU,35.0,68.75,161.3,66.26,4.43
tura,1566621675,40.0,RU,41.0,64.27,100.22,66.62,6.93
wuda,1566621676,31.0,CN,37.0,39.5,106.72,74.72,4.23
riohacha,1566621679,2.0,CO,81.0,11.54,-72.91,80.12,4.23
ancud,1566621680,90.0,CL,100.0,-41.87,-73.83,50.0,13.87
ketchikan,1566621382,90.0,US,100.0,55.34,-131.65,55.4,18.34
mackay,1566621682,75.0,CA,87.0,53.65,-115.58,59.0,3.36
patitirion,1566621684,20.0,GR,69.0,39.15,23.87,80.6,14.99
myitkyina,1566621686,15.0,MM,54.0,25.38,97.4,88.22,4.43
coromandel,1566621687,0.0,BR,68.0,-18.47,-47.2,59.96,4.38
burns lake,1566621690,100.0,CA,92.0,54.23,-125.76,45.02,3.89
mweka,1566621691,6.0,CD,33.0,-4.85,21.56,77.06,2.73
agadir,1566621692,0.0,MA,31.0,30.42,-9.58,87.8,10.29
laguna,1566621637,40.0,BZ,94.0,16.17,-88.94,78.8,1.68
homer,1566621695,1.0,US,55.0,59.64,-151.54,64.4,8.05
sao filipe,1566621696,53.0,CV,78.0,14.9,-24.5,77.42,7.92
adeje,1566621697,100.0,NG,91.0,5.68,5.76,75.26,5.97
lakhisarai,1566621699,99.0,IN,63.0,25.18,86.09,91.1,17.18
cayambe,1566621700,20.0,EC,54.0,0.04,-78.14,55.4,5.82
castro,1566621701,90.0,CL,100.0,-42.48,-73.76,50.0,13.87
leningradskiy,1566621702,67.0,RU,81.0,69.38,178.42,42.86,6.13
bubaque,1566621704,84.0,GW,83.0,11.28,-15.83,78.86,15.59
kahului,1566621705,40.0,US,62.0,20.89,-156.47,84.2,17.22
buala,1566621706,85.0,SB,77.0,-8.15,159.59,82.28,8.01
oriximina,1566621707,0.0,BR,86.0,-1.77,-55.87,75.8,4.5
fethiye,1566621709,0.0,TR,48.0,36.62,29.12,82.4,5.82
udachnyy,1566621710,75.0,RU,82.0,66.42,112.4,57.2,2.24
kirakira,1566621711,100.0,SB,86.0,-10.46,161.92,78.14,17.69
coihaique,1566621712,95.0,CL,93.0,-45.58,-72.07,42.8,4.7
temiscaming,1566621714,1.0,CA,87.0,46.72,-79.1,53.01,9.17
esperance,1566621715,75.0,AU,67.0,-33.86,121.89,57.2,9.17
sampit,1566621716,90.0,ID,64.0,-2.54,112.95,86.06,1.05
lavrentiya,1566621718,52.0,RU,76.0,65.58,-170.99,48.44,4.09
matagami,1566621719,98.0,NG,98.0,9.67,8.4,67.34,4.16
khatassy,1566621720,75.0,RU,77.0,61.91,129.64,64.4,15.66
christchurch,1566621721,15.0,NZ,66.0,-43.53,172.64,53.6,12.75
harper,1566621723,75.0,US,65.0,30.3,-99.24,82.4,5.82
prince rupert,1566621724,90.0,CA,93.0,54.32,-130.32,57.2,11.41
hurricane,1566621725,1.0,US,12.0,37.18,-113.29,84.2,3.36
plainview,1566621728,1.0,US,60.0,34.18,-101.71,77.0,11.41
northam,1566621729,40.0,AU,62.0,-31.65,116.67,57.2,6.93
umtata,1566621730,0.0,ZA,100.0,-31.59,28.78,44.6,6.44
sorland,1566621731,100.0,NO,82.0,67.67,12.69,50.24,19.22
minden,1566621733,90.0,US,100.0,40.5,-98.95,70.0,12.75
port hawkesbury,1566621734,20.0,CA,68.0,45.62,-61.36,69.01,12.75
coralville,1566621735,1.0,US,72.0,41.68,-91.58,66.2,9.17
gayny,1566621736,81.0,RU,64.0,60.3,54.33,61.4,7.85
erenhot,1566621738,64.0,CN,23.0,43.65,111.97,81.38,12.66
sur,1566621739,0.0,OM,38.0,22.57,59.53,94.16,5.28
guia de isora,1566621740,0.0,ES,88.0,28.21,-16.78,78.01,1.12
maryborough,1566621741,98.0,AU,51.0,-25.54,152.7,68.06,2.68
sola,1566621743,8.0,TZ,46.0,-3.17,33.8,74.18,9.91
hailey,1566621744,5.0,US,59.0,43.52,-114.32,60.8,5.14
maues,1566621745,24.0,BR,84.0,-3.38,-57.72,73.64,1.77
iquique,1566621746,90.0,CL,72.0,-20.22,-70.14,59.0,5.82
jalu,1566621748,0.0,LY,66.0,29.03,21.55,76.88,8.39
tadine,1566621750,48.0,NC,67.0,-21.55,167.88,67.52,20.78
hornepayne,1566621751,0.0,CA,87.0,49.22,-84.78,47.54,4.41
